nombre,precioEspecial,codigo_principal,vendible,stock,id_producto
Memoria OLOy DDR4 16GB 3000MHz Owl Red CL16,18400.0,P/N: MD4U163016CHSA,1,11,10960
Memoria OLOy DDR4 16GB (2x8GB) Warhawk Black RGB 3000MHz CL16,24600.0,P/N: MD4U083016BEDA,1,1,10959
Teclado Mecanico Redragon Dark Avenger K568 RGB Switch Red,6899.0,SKU: K568RGB-1-SP-RED,1,20,10927
Teclado Mecanico Inalambrico Redragon Draconic K530W-RGB White,10190.0,SKU: K530W-RGB,1,20,10926
Procesador Intel Celeron G5905 3.5GHz Socket 1200,8100.0,SKU: BX80701G5905,1,20,10921
Mouse Glorious Model D (Glossy White),8670.0,SKU: GD-GWHITE,1,20,10919
Mouse Glorious Model D (Glossy Black),8690.0,SKU: GD-GBLACK,1,20,10918
Cooler FAN ID-Cooling XF-12025-ARGB-TRIO,10400.0,SKU: XF-12025-ARGB-TRIO,1,20,10909
Cooler CPU ID-Cooling SE-914-XT Basic,5550.0,SKU: SE-914-XT,1,20,10908
Cooler CPU ID-Cooling SE-224-XT Basic,5850.0,SKU: SE-224-XT BASIC,1,20,10907
"Monitor Gamer ViewSonic 27"" XG2705 144Hz IPS 1ms",88150.0,SKU: -XG2705-,1,15,10889
Microfono HP HyperX QuadCast S Streaming Condensador USB C PC-PS4,35500.0,SKU: 4P5P7AA,1,20,10874
Disco Solido SSD  M.2 Gigabyte 500GB 5000MB/s NVMe PCI-E,20360.0,SKU: GP-AG4500G,1,20,10869
Memoria Team DDR4 16GB 3200MHz Elite Plus,17800.0,P/N: TPD416G3200HC2201,1,2,10863
Gabinete ASUS TUF GT301 ARGB Vidrio Templado,25280.0,SKU: 90DC0040-B40000,1,20,10836
Gabinete ASUS ROG STRIX Helios Aluminum Black RGB,86400.0,SKU: 90DC0020-B30000,1,20,10835
Mother ASUS TUF B550M-PLUS AM4,38390.0,SKU: TUF B550M-PLUS,1,20,10830
Gabinete Cougar Conquer 2,76670.0,SKU: 109CM10001-02,1,11,10826
Gabinete Cougar Panzer EVO RGB,55050.0,SKU: 106AMT0003-03,1,13,10824
Gabinete Cougar Gemini M Silver,16550.0,SKU: 385TMB0.0002,1,17,10815
Gabinete Cougar Gemini M Iron Gray,16550.0,SKU: 385TMB0.0001,1,20,10814
Placa de Video Zotac GeForce RTX 3090 24GB GDDR6X Trinity,285000.0,SKU: ZT-A30900D-10P,1,20,10806
Procesador AMD Ryzen 5 PRO 4650G 4.2GHz Turbo + Wraith Stealth Cooler OEM,32100.0,SKU: 100-100000143MPK,1,20,10792
Teclado Redragon Harpe PRO K503 RGB ESP,4060.0,SKU: K503A-RGB-SP,1,20,10778
Teclado Mecanico Redragon Kumara K552 RGB Español Switch Outemu Blue,8450.0,SKU: K552-RGB-1-SP,1,20,10771
Teclado Mecanico Inalambrico Redragon Draconic K530 RGB,10010.0,SKU: K530-RGB,1,20,10769
Mouse Redragon Gainer M610,2050.0,SKU: RD-M601,1,20,10768
Mouse Logitech G305 Lightspeed Wireless Blue,6970.0,SKU: 910-006012,1,20,10759
Mouse Glorious Model D Minus - Matte Black,8100.0,SKU: GLO-MS-DM-MB,1,20,10757
Mouse Glorious Model D (White),7960.0,SKU: GD-WHITE,1,20,10756
